employee_skill_id,employee_id,skill_id,proficiency_level
263,22,19,5
264,22,23,5
265,22,21,5
266,22,22,5
267,22,53,5
268,22,25,3
269,22,58,3
270,22,59,4
271,22,28,4
272,22,30,3
273,23,1,1
274,23,4,2
275,23,5,1
276,23,6,2
277,23,7,2
278,23,8,1
279,23,11,2
280,23,12,1
281,23,15,2
282,23,19,3
283,23,58,3
284,24,1,2
285,24,2,3
286,24,3,2
287,24,4,2
288,24,8,2
289,24,9,3
290,24,16,1
291,24,17,1
292,24,19,3
293,24,51,4
294,24,23,1
295,24,60,3
296,25,1,5
297,25,8,4
298,25,9,4
299,25,41,4
300,25,11,4
301,25,49,4
302,25,50,4
303,25,19,5
304,25,51,4
305,25,21,3
306,25,54,5
307,25,27,2
308,25,29,2
309,25,31,4
310,26,1,3
311,26,34,2
312,26,35,4
313,26,36,5
314,26,5,4
315,26,11,3
316,26,45,3
317,26,47,5
318,26,21,4
319,26,53,2
320,26,57,3
321,26,30,5
322,26,31,3
323,27,1,4
324,27,56,4
325,27,37,4
326,27,38,3
327,27,9,5
328,27,41,3
329,27,10,3
330,27,48,2
331,27,19,5
332,27,20,5
333,27,21,5
334,27,25,5
335,27,24,5
336,27,57,5
337,27,58,5
338,27,28,5
339,27,30,5
340,28,34,3
341,28,3,2
342,28,8,5
343,28,11,4
344,28,45,5
345,28,19,5
346,28,23,5
347,28,21,4
348,28,22,2
349,28,53,4
350,28,25,4
351,28,58,5
352,28,59,4
353,28,28,3
354,28,30,3
355,28,31,1
356,29,1,2
357,29,2,1
358,29,3,2
359,29,4,2
360,29,37,5
361,29,8,1
362,29,9,2
363,29,12,4
364,29,13,3
365,29,19,3
366,29,51,4
367,29,60,2
368,30,1,5
369,30,8,4
370,30,9,4
371,30,60,4
372,30,46,2
373,30,48,4
374,30,20,5
375,30,21,4
376,30,25,4
377,30,58,4
378,30,28,5
379,30,30,4
380,31,1,2
381,31,2,4
382,31,3,3
383,31,37,3
384,31,38,3
385,31,39,3
386,31,8,4
387,31,41,4
388,31,40,3
389,31,11,2
390,31,19,3
391,32,36,3
392,32,40,4
393,32,9,4
394,32,8,4
395,32,49,2
396,32,19,4
397,32,21,4
398,32,53,2
399,32,23,4
400,32,22,3
401,32,59,4
402,32,30,4
403,33,3,4
404,33,4,5
405,33,8,4
406,33,9,3
407,33,18,3
408,33,19,4
409,33,51,4
410,33,21,5
411,33,52,5
412,33,60,4
413,34,3,3
414,34,4,4
415,34,5,5
416,34,6,5
417,34,8,4
418,34,9,3
419,34,12,4
420,34,19,4
421,34,21,5
422,34,54,3
423,34,59,1
424,35,3,5
425,35,5,5
426,35,8,4
427,35,9,4
428,35,13,3
429,35,46,5
430,35,47,5
431,35,48,5
432,35,19,5
433,35,21,4
434,35,25,2
435,35,28,5
436,35,30,3
437,35,31,5
438,36,1,4
439,36,34,5
440,36,3,3
441,36,36,4
442,36,11,5
443,36,19,3
444,36,21,3
445,36,30,4
446,36,31,3
447,37,32,3
448,37,1,4
449,37,34,4
450,37,3,3
451,37,36,5
452,37,2,4
453,37,9,3
454,37,11,2
455,37,21,5
456,37,31,4
457,38,1,2
458,38,8,4
459,38,41,2
460,38,9,1
461,38,11,1
462,38,49,2
463,38,50,1
464,38,19,1
465,38,51,2
466,38,21,2
467,38,54,2
468,38,60,4
469,39,1,3
470,39,4,3
471,39,8,3
472,39,9,4
473,39,48,4
474,39,20,4
475,39,21,3
476,39,55,3
477,39,24,2
478,39,57,3
479,39,58,2
480,39,30,3
481,40,1,3
482,40,2,4
483,40,3,3
484,40,4,1
485,40,5,3
486,40,6,5
487,40,8,3
488,40,9,3
489,40,11,2
490,40,12,2
491,40,45,5
492,40,19,1
493,40,21,2
494,41,1,1
495,41,3,3
496,41,37,2
497,41,38,3
498,41,8,4
499,41,41,4
500,41,40,4
501,41,11,2
502,41,19,3
503,41,20,3
504,42,3,3
505,42,5,5
506,42,8,5
507,42,9,4
508,42,11,2
509,42,13,4
510,42,46,5
511,42,47,5
512,42,48,5
513,42,45,4
514,42,19,5
515,42,21,4
516,42,25,4
517,42,26,2
518,42,28,5
519,42,30,4
520,43,34,3
521,43,3,1
522,43,36,4
523,43,8,2
524,43,9,2
525,43,13,1
526,43,46,2
527,43,47,3
528,43,45,1
529,43,21,3
530,44,32,3
531,44,33,1
532,44,1,4
533,44,3,3
534,44,36,4
535,44,9,5
536,44,11,4
537,44,20,5
538,44,27,4
539,45,3,1
540,45,4,4
541,45,8,3
542,45,9,3
543,45,42,1
544,45,19,3
545,45,51,3
546,45,21,4
547,45,52,4
548,45,60,2
549,46,3,5
550,46,5,5
551,46,8,5
552,46,9,5
553,46,13,4
554,46,46,5
555,46,47,5
556,46,48,5
557,46,19,5
558,46,21,3
559,46,25,4
560,46,28,5
561,46,30,4
562,47,1,2
563,47,56,1
564,47,9,2
565,47,48,2
566,47,20,2
567,47,53,4
568,47,55,2
569,47,24,4
570,47,57,1
571,47,58,2
572,47,59,2
573,47,30,3
574,48,8,5
575,48,9,4
576,48,41,5
577,48,11,4
578,48,40,3
579,48,46,5
580,48,50,5
581,48,19,5
582,48,52,5
583,48,51,4
584,48,21,5
585,48,25,4
586,48,28,4
587,48,30,4
588,49,1,5
589,49,37,5
590,49,6,4
591,49,39,5
592,49,40,5
593,49,41,5
594,49,42,4
595,49,11,4
596,49,9,5
597,49,45,2
598,49,10,1
599,49,19,5
600,49,21,5
601,49,25,4
602,49,27,4
603,49,28,5
604,49,30,4
605,50,2,3
606,50,9,4
607,50,18,2
608,50,19,3
609,50,21,4
610,50,53,3
611,50,23,3
612,50,22,3
613,50,26,2
614,50,59,3
615,50,30,5
616,51,32,1
617,51,1,4
618,51,2,3
619,51,3,1
620,51,36,5
621,51,34,3
622,51,8,2
623,51,9,3
624,51,41,2
625,51,13,4
626,51,19,3
627,51,20,2
628,52,8,5
629,52,11,5
630,52,45,2
631,52,46,2
632,52,48,5
633,52,19,4
634,52,23,5
635,52,21,5
636,52,22,5
637,52,53,5
638,52,25,4
639,52,58,4
640,52,59,5
641,52,28,5
642,52,30,5
643,53,8,4
644,53,9,3
645,53,14,2
646,53,19,4
647,53,51,3
648,53,53,3
649,53,21,3
650,53,22,3
651,53,58,4
652,53,59,3
653,53,30,4
654,54,3,5
655,54,5,5
656,54,8,5
657,54,9,2
658,54,12,4
659,54,13,4
660,54,46,4
661,54,47,5
662,54,48,5
663,54,19,5
664,54,21,4
665,54,25,4
666,54,28,5
667,54,30,3
668,55,3,3
669,55,5,2
670,55,7,2
671,55,9,2
672,55,43,3
673,55,45,2
674,55,46,4
675,55,47,3
676,55,48,3
677,55,20,1
678,55,21,3
679,56,1,4
680,56,8,2
681,56,41,4
682,56,46,4
683,56,50,4
684,56,19,3
685,56,51,2
686,56,21,3
687,56,54,3
688,56,52,3
689,57,1,5
690,57,37,5
691,57,39,5
692,57,40,4
693,57,41,5
694,57,42,4
695,57,11,4
696,57,9,5
697,57,10,2
698,57,60,2
699,57,19,5
700,57,21,4
701,57,25,4
702,57,28,5
703,57,30,4
704,58,1,2
705,58,2,2
706,58,3,2
707,58,4,3
708,58,8,2
709,58,9,1
710,58,40,4
711,58,19,5
712,58,51,2
713,58,20,3
714,58,24,3
715,58,60,3
716,59,3,3
717,59,36,4
718,59,5,4
719,59,8,2
720,59,43,3
721,59,44,4
722,59,45,3
723,59,13,2
724,59,48,4
725,59,19,3
726,59,20,4
727,59,28,2
728,60,1,2
729,60,8,2
730,60,9,2
731,60,40,3
732,60,15,3
733,60,48,4
734,60,20,3
735,60,21,1
736,60,55,1
737,60,24,2
738,60,57,2
739,60,58,1
740,60,59,3
741,60,30,4
742,61,9,4
743,61,19,4
744,61,52,3
745,61,21,4
746,61,53,2
747,61,23,4
748,61,22,3
749,61,59,4
750,61,30,5
751,62,1,2
752,62,3,2
753,62,37,4
754,62,6,2
755,62,8,2
756,62,9,1
757,62,16,3
758,62,51,2
759,62,21,2
760,62,56,2
761,62,60,2
762,63,1,2
763,63,8,2
764,63,9,2
765,63,41,2
766,63,11,2
767,63,49,2
768,63,51,1
769,63,19,2
770,63,21,1
771,63,54,3
772,64,38,5
773,64,8,4
774,64,9,3
775,64,14,3
776,64,19,2
777,64,53,2
778,64,21,1
779,64,22,3
780,64,58,5
781,64,59,3
782,64,30,3
783,65,1,3
784,65,38,5
785,65,7,2
786,65,8,2
787,65,12,3
788,65,13,3
789,65,14,4
790,65,15,4
791,65,17,4
792,65,18,1
793,65,19,3
794,65,21,5
795,65,55,3
796,65,28,2
797,66,33,2
798,66,1,1
799,66,3,2
800,66,36,2
801,66,37,5
802,66,8,1
803,66,9,1
804,66,21,2
805,66,27,3
806,67,32,2
807,67,1,3
808,67,3,1
809,67,36,2
810,67,38,2
811,67,8,1
812,67,9,3
813,67,12,3
814,67,13,3
815,67,19,1
816,67,20,2
817,68,32,2
818,68,33,3
819,68,1,3
820,68,3,3
821,68,36,4
822,68,9,3
823,68,11,3
824,68,20,2
825,68,27,3
826,69,8,4
827,69,9,2
828,69,11,4
829,69,19,2
830,69,23,1
831,69,21,3
832,69,22,3
833,69,53,1
834,69,58,2
835,69,59,2
836,69,28,1
837,69,30,4
838,70,1,5
839,70,37,5
840,70,39,5
841,70,40,5
842,70,41,4
843,70,42,3
844,70,11,4
845,70,9,5
846,70,60,4
847,70,19,5
848,70,21,5
849,70,25,4
850,70,28,5
851,70,30,3
852,70,57,4
853,71,3,5
854,71,4,4
855,71,5,3
856,71,8,4
857,71,9,5
858,71,42,2
859,71,44,5
860,71,45,4
861,71,46,5
862,71,48,5
863,71,16,4
864,71,21,5
865,72,34,5
866,72,35,3
867,72,36,4
868,72,5,2
869,72,3,4
870,72,7,2
871,72,8,3
872,72,21,2
873,72,30,3
874,72,31,3
875,73,3,4
876,73,4,1
877,73,6,3
878,73,8,3
879,73,9,2
880,73,12,4
881,73,51,2
882,73,19,3
883,73,52,3
884,73,21,2
885,73,23,4
886,73,57,3
887,73,60,4
888,74,3,5
889,74,5,5
890,74,6,4
891,74,8,5
892,74,9,4
893,74,11,5
894,74,19,5
895,74,21,2
896,74,55,1
897,74,25,5
898,74,28,5
899,74,30,4
900,75,1,5
901,75,35,5
902,75,36,5
903,75,8,5
904,75,9,4
905,75,19,4
906,75,54,3
907,75,25,4
908,75,27,1
909,75,28,4
910,75,30,4
911,75,31,3
912,76,1,4
913,76,3,5
914,76,39,2
915,76,8,4
916,76,40,2
917,76,9,3
918,76,11,2
919,76,13,5
920,76,18,3
921,76,19,2
922,76,21,3
923,76,54,2
924,76,23,2
925,77,1,2
926,77,2,2
927,77,3,2
928,77,5,1
929,77,6,3
930,77,8,2
931,77,9,1
932,77,11,1
933,77,12,1
934,77,19,1
935,77,52,5
936,77,21,2
937,78,32,2
938,78,33,2
939,78,1,4
940,78,3,2
941,78,36,2
942,78,9,5
943,78,11,3
944,78,20,4
945,78,52,3
946,78,27,2
947,79,3,3
948,79,8,3
949,79,9,3
950,79,44,4
951,79,13,3
952,79,46,3
953,79,47,4
954,79,45,3
955,79,15,4
956,79,21,3
957,79,53,4
958,80,9,3
959,80,11,3
960,80,19,3
961,80,21,4
962,80,53,2
963,80,23,4
964,80,22,3
965,80,59,3
966,80,30,5
967,81,34,2
968,81,8,4
969,81,9,2
970,81,11,4
971,81,19,4
972,81,23,2
973,81,21,3
974,81,22,3
975,81,53,3
976,81,58,1
977,81,59,1
978,81,30,3
979,82,1,4
980,82,3,5
981,82,4,4
982,82,6,4
983,82,8,5
984,82,9,5
985,82,42,1
986,82,19,4
987,82,52,3
988,82,21,3
989,82,55,3
990,82,60,5
991,83,32,3
992,83,1,4
993,83,3,2
994,83,36,3
995,83,8,3
996,83,9,4
997,83,13,4
998,83,48,2
999,83,19,3
1000,83,20,2
1001,84,1,3
1002,84,8,2
1003,84,9,3
1004,84,41,3
1005,84,11,2
1006,84,40,3
1007,84,13,2
1008,84,49,1
1009,84,51,2
1010,84,19,3
1011,84,21,3
1012,84,54,4
1013,84,25,4
1014,84,28,4
1015,85,1,2
1016,85,8,2
1017,85,9,2
1018,85,48,4
1019,85,20,2
1020,85,21,2
1021,85,55,1
1022,85,24,1
1023,85,57,2
1024,85,58,1
1025,85,30,4
1026,85,31,3
1027,86,36,4
1028,86,8,4
1029,86,9,1
1030,86,43,2
1031,86,12,3
1032,86,19,4
1033,86,53,3
1034,86,21,2
1035,86,22,4
1036,86,54,2
1037,86,58,3
1038,86,59,3
1039,86,30,3
1040,87,1,2
1041,87,2,5
1042,87,7,2
1043,87,8,1
1044,87,13,2
1045,87,14,3
1046,87,15,3
1047,87,17,3
1048,87,18,1
1049,87,19,2
1050,87,23,3
1051,87,21,3
1052,87,55,1
1053,88,32,5
1054,88,1,5
1055,88,3,5
1056,88,9,5
1057,88,10,2
1058,88,11,5
1059,88,13,3
1060,88,20,5
1061,88,21,4
1062,88,25,5
1063,88,27,5
1064,88,28,4
1065,88,30,5
1066,89,1,2
1067,89,3,3
1068,89,6,3
1069,89,38,3
1070,89,8,3
1071,89,9,1
1072,89,51,3
1073,89,21,2
1074,89,60,1
1075,90,36,4
1076,90,7,5
1077,90,8,5
1078,90,9,5
1079,90,13,5
1080,90,14,5
1081,90,15,4
1082,90,17,3
1083,90,18,5
1084,90,20,5
1085,90,21,5
1086,90,25,4
1087,90,28,5
1088,90,30,3
1089,91,1,3
1090,91,34,3
1091,91,3,2
1092,91,36,4
1093,91,2,3
1094,91,9,3
1095,91,11,2
1096,91,52,2
1097,91,21,3
1098,91,20,3
1099,91,55,3
1100,91,29,5
1101,91,31,4
1102,92,1,3
1103,92,7,4
1104,92,8,2
1105,92,9,3
1106,92,13,2
1107,92,15,3
1108,92,16,2
1109,92,17,2
1110,92,18,2
1111,92,19,1
1112,92,48,2
1113,92,21,3
1114,93,1,5
1115,93,35,3
1116,93,4,2
1117,93,8,4
1118,93,9,4
1119,93,60,4
1120,93,48,2
1121,93,20,3
1122,93,21,3
1123,93,25,5
1124,93,58,3
1125,93,28,5
1126,93,30,4
1127,94,5,2
1128,94,8,4
1129,94,9,5
1130,94,11,3
1131,94,19,3
1132,94,21,4
1133,94,22,4
1134,94,23,4
1135,94,53,3
1136,94,25,3
1137,94,58,4
1138,94,59,5
1139,94,28,3
1140,94,30,5
1141,95,3,2
1142,95,4,3
1143,95,37,5
1144,95,8,3
1145,95,9,3
1146,95,11,2
1147,95,19,3
1148,95,51,3
1149,95,21,4
1150,95,52,4
1151,95,60,3
1152,96,3,4
1153,96,5,1
1154,96,8,4
1155,96,9,2
1156,96,10,1
1157,96,43,3
1158,96,45,2
1159,96,46,5
1160,96,47,3
1161,96,20,2
1162,96,21,3
1163,97,3,3
1164,97,4,3
1165,97,5,4
1166,97,6,3
1167,97,8,3
1168,97,9,2
1169,97,12,3
1170,97,18,3
1171,97,19,3
1172,97,21,4
1173,98,1,4
1174,98,3,2
1175,98,4,2
1176,98,5,3
1177,98,36,3
1178,98,7,3
1179,98,8,3
1180,98,9,4
1181,98,11,4
1182,98,12,4
1183,98,19,2
1184,99,33,5
1185,99,3,2
1186,99,4,3
1187,99,8,2
1188,99,9,3
1189,99,10,2
1190,99,19,3
1191,99,51,3
1192,99,21,4
1193,99,52,2
1194,99,60,3
1195,100,3,4
1196,100,8,4
1197,100,9,2
1198,100,41,3
1199,100,11,1
1200,100,14,2
1201,100,50,5
1202,100,19,4
1203,100,52,5
1204,100,51,4
1205,100,21,5
1206,100,25,3
1207,100,28,3
1208,100,30,2
1209,101,1,3
1210,101,8,4
1211,101,41,4
1212,101,47,2
1213,101,50,3
1214,101,19,3
1215,101,51,2
1216,101,21,3
1217,101,54,4
1218,101,52,3
1219,102,32,5
1220,102,1,5
1221,102,3,5
1222,102,6,1
1223,102,9,5
1224,102,41,3
1225,102,11,5
1226,102,20,5
1227,102,21,5
1228,102,25,5
1229,102,27,4
1230,102,28,4
1231,102,30,5
1232,103,32,1
1233,103,33,3
1234,103,1,5
1235,103,3,4
1236,103,36,3
1237,103,6,2
1238,103,9,4
1239,103,11,2
1240,103,44,2
1241,103,20,5
1242,103,27,4
1243,104,8,3
1244,104,9,1
1245,104,41,3
1246,104,11,2
1247,104,50,4
1248,104,19,3
1249,104,52,3
1250,104,51,3
1251,104,21,4
1252,104,55,3
1253,104,25,2
1254,104,28,3
1255,104,30,2
1256,105,1,4
1257,105,7,3
1258,105,8,3
1259,105,9,3
1260,105,13,3
1261,105,14,3
1262,105,15,4
1263,105,18,3
1264,105,21,2
1265,105,55,2
1266,106,1,2
1267,106,3,2
1268,106,37,4
1269,106,38,3
1270,106,8,2
1271,106,41,4
1272,106,40,3
1273,106,11,3
1274,106,12,1
1275,106,45,1
1276,106,19,3
1277,106,22,3
1278,106,54,3
1279,107,32,2
1280,107,1,2
1281,107,3,3
1282,107,37,1
1283,107,6,2
1284,107,8,2
1285,107,9,1
1286,107,51,3
1287,107,21,2
1288,107,54,2
1289,107,60,1
1290,108,1,2
1291,108,26,2
1292,108,8,1
1293,108,9,3
1294,108,42,3
1295,108,47,4
1296,108,48,3
1297,108,20,1
1298,108,21,1
1299,108,55,1
1300,108,24,1
1301,108,57,1
1302,108,58,1
1303,108,30,3
1304,109,32,3
1305,109,33,3
1306,109,1,5
1307,109,3,4
1308,109,36,3
1309,109,9,5
1310,109,11,4
1311,109,46,3
1312,109,20,5
1313,109,27,3
1314,110,32,5
1315,110,33,3
1316,110,3,5
1317,110,8,3
1318,110,9,5
1319,110,10,2
1320,110,11,2
1321,110,49,2
1322,110,19,5
1323,110,21,5
1324,110,27,2
1325,110,30,3
1326,111,1,4
1327,111,3,4
1328,111,4,5
1329,111,6,3
1330,111,8,4
1331,111,9,4
1332,111,15,1
1333,111,19,4
1334,111,52,3
1335,111,21,2
1336,111,58,3
1337,111,60,5
1338,112,1,3
1339,112,34,3
1340,112,35,4
1341,112,36,5
1342,112,5,2
1343,112,11,4
1344,112,15,2
1345,112,16,2
1346,112,21,4
1347,112,30,5
1348,112,31,4
1349,113,1,4
1350,113,34,5
1351,113,3,3
1352,113,36,4
1353,113,10,2
1354,113,11,5
1355,113,19,4
1356,113,21,1
1357,113,53,4
1358,113,30,4
1359,113,31,3
1360,114,1,3
1361,114,35,4
1362,114,36,4
1363,114,37,2
1364,114,39,3
1365,114,8,4
1366,114,9,4
1367,114,19,2
1368,114,55,2
1369,114,25,2
1370,114,28,3
1371,114,30,3
1372,114,31,1
1373,115,3,5
1374,115,4,4
1375,115,5,5
1376,115,6,5
1377,115,39,3
1378,115,8,3
1379,115,9,3
1380,115,41,3
1381,115,12,4
1382,115,19,4
1383,115,21,5
1384,116,32,2
1385,116,3,3
1386,116,5,1
1387,116,37,1
1388,116,8,2
1389,116,9,3
1390,116,44,3
1391,116,45,2
1392,116,46,2
1393,116,48,1
1394,116,52,1
1395,116,21,2
1396,117,32,4
1397,117,1,5
1398,117,8,5
1399,117,9,5
1400,117,48,5
1401,117,19,3
1402,117,20,5
1403,117,21,5
1404,117,56,2
1405,117,25,5
1406,117,58,5
1407,117,28,4
1408,117,30,5
1409,118,1,5
1410,118,37,5
1411,118,39,4
1412,118,40,5
1413,118,41,5
1414,118,42,4
1415,118,11,4
1416,118,9,5
1417,118,17,3
1418,118,19,5
1419,118,21,5
1420,118,25,3
1421,118,28,4
1422,118,30,4
1423,119,3,4
1424,119,4,3
1425,119,6,3
1426,119,8,2
1427,119,9,1
1428,119,49,4
1429,119,18,4
1430,119,51,1
1431,119,19,3
1432,119,52,3
1433,119,21,1
1434,119,60,3
1435,119,31,4
1436,120,32,4
1437,120,1,2
1438,120,3,3
1439,120,39,2
1440,120,8,2
1441,120,40,2
1442,120,9,2
1443,120,11,1
1444,120,19,4
1445,120,21,2
1446,121,1,3
1447,121,4,3
1448,121,5,3
1449,121,6,3
1450,121,7,3
1451,121,8,1
1452,121,39,5
1453,121,11,4
1454,121,12,1
1455,121,13,4
1456,121,19,4
1457,122,1,5
1458,122,3,5
1459,122,4,2
1460,122,6,3
1461,122,8,4
1462,122,9,3
1463,122,19,4
1464,122,52,3
1465,122,21,2
1466,122,54,4
1467,122,24,1
1468,122,60,5
1469,123,32,3
1470,123,2,3
1471,123,3,3
1472,123,4,2
1473,123,6,2
1474,123,8,3
1475,123,9,1
1476,123,42,3
1477,123,50,2
1478,123,51,1
1479,123,19,3
1480,123,52,2
1481,123,21,1
1482,123,60,2
1483,124,1,2
1484,124,3,1
1485,124,37,2
1486,124,38,2
1487,124,39,2
1488,124,40,2
1489,124,41,2
1490,124,42,1
1491,124,8,2
1492,124,11,1
1493,124,10,2
1494,124,12,3
1495,124,19,2
1496,125,26,5
1497,125,8,4
1498,125,9,3
1499,125,19,4
1500,125,53,3
1501,125,21,2
1502,125,22,4
1503,125,58,4
1504,125,59,3
1505,125,30,3
1506,126,3,1
1507,126,8,5
1508,126,9,3
1509,126,11,4
1510,126,13,3
1511,126,19,3
1512,126,23,2
1513,126,21,3
1514,126,22,4
1515,126,53,2
1516,126,58,4
1517,126,59,1
1518,126,30,3
1519,127,3,4
1520,127,4,2
1521,127,37,4
1522,127,6,4
1523,127,8,4
1524,127,9,3
1525,127,51,2
1526,127,19,3
1527,127,52,2
1528,127,21,3
1529,127,60,2
1530,128,34,2
1531,128,3,4
1532,128,4,4
1533,128,5,5
1534,128,6,4
1535,128,8,5
1536,128,9,4
1537,128,12,5
1538,128,19,5
1539,128,21,5
1540,128,55,2
1541,129,2,1
1542,129,8,4
1543,129,9,2
1544,129,11,4
1545,129,48,3
1546,129,19,3
1547,129,23,2
1548,129,21,2
1549,129,22,2
1550,129,53,2
1551,129,58,3
1552,129,59,3
1553,129,30,1
1554,130,32,3
1555,130,33,2
1556,130,3,3
1557,130,8,3
1558,130,9,3
1559,130,11,2
1560,130,19,4
1561,130,21,2
1562,130,27,2
1563,130,31,2
1564,131,3,4
1565,131,5,5
1566,131,6,4
1567,131,8,5
1568,131,9,4
1569,131,11,4
1570,131,19,5
1571,131,21,4
1572,131,55,3
1573,131,25,5
1574,131,28,5
1575,131,30,4
1576,131,57,2
1577,132,1,4
1578,132,3,2
1579,132,4,3
1580,132,6,4
1581,132,8,3
1582,132,9,3
1583,132,10,2
1584,132,11,3
1585,132,19,4
1586,132,52,1
1587,132,21,3
1588,132,57,3
1589,132,60,5
1590,133,1,1
1591,133,2,3
1592,133,7,3
1593,133,8,2
1594,133,13,3
1595,133,14,3
1596,133,15,4
1597,133,17,4
1598,133,18,1
1599,133,19,1
1600,133,21,5
1601,133,29,1
1602,134,1,2
1603,134,34,1
1604,134,3,2
1605,134,36,2
1606,134,35,3
1607,134,11,3
1608,134,13,4
1609,134,19,3
1610,134,52,2
1611,134,21,2
1612,134,30,4
1613,134,31,2
1614,135,37,2
1615,135,8,4
1616,135,9,3
1617,135,11,1
1618,135,17,4
1619,135,19,4
1620,135,21,4
1621,135,22,3
1622,135,23,2
1623,135,53,3
1624,135,58,3
1625,135,59,3
1626,135,30,4
1627,136,3,4
1628,136,5,3
1629,136,9,1
1630,136,42,4
1631,136,43,2
1632,136,45,3
1633,136,46,5
1634,136,47,4
1635,136,20,3
1636,136,21,5
1637,137,1,4
1638,137,2,3
1639,137,3,3
1640,137,4,3
1641,137,8,2
1642,137,9,1
1643,137,50,5
1644,137,19,2
1645,137,51,5
1646,137,60,3
1647,138,1,4
1648,138,5,4
1649,138,8,4
1650,138,9,5
1651,138,13,4
1652,138,48,5
1653,138,20,5
1654,138,21,3
1655,138,23,4
1656,138,55,5
1657,138,25,5
1658,138,58,5
1659,138,28,3
1660,138,30,3
1661,139,1,5
