enrollment_id,employee_id,training_id,enrollment_date,completion_date,completion_status
408,386,36,2026-05-28,,Not Started
409,498,18,2024-10-07,2024-10-19,Completed
410,7,16,2024-06-11,2024-06-16,Completed
411,1533,17,2024-10-23,2024-10-31,Completed
412,1805,10,2024-10-17,2024-11-05,Completed
413,1576,1,2026-03-15,,In Progress
414,134,22,2024-12-22,2025-01-02,Completed
415,921,6,2026-06-03,2026-06-26,Completed
416,1974,15,2024-06-13,2024-07-02,Completed
417,1854,4,2026-03-10,2026-03-31,Completed
418,788,6,2025-07-18,2025-07-30,Completed
419,225,9,2025-01-14,2025-02-10,Completed
420,203,9,2025-11-05,2025-11-19,Completed
421,1529,16,2024-03-05,2024-03-12,Completed
422,495,37,2024-09-15,,In Progress
423,1552,39,2026-08-11,2026-09-01,Completed
424,1177,32,2025-06-26,,Not Started
425,1286,19,2025-06-25,2025-06-29,Completed
426,671,31,2026-02-27,2026-03-25,Completed
427,699,1,2024-07-17,2024-08-15,Completed
428,628,28,2025-03-11,2025-04-10,Completed
429,557,22,2025-10-05,2025-10-28,Completed
430,1158,21,2024-04-08,2024-04-30,Completed
431,402,36,2024-11-28,2024-12-10,Completed
432,731,18,2024-09-03,2024-09-22,Completed
433,467,16,2025-07-29,2025-08-04,Completed
434,212,21,2024-05-20,2024-05-24,Completed
435,420,18,2025-07-01,,Not Started
436,149,3,2025-07-15,2025-07-29,Completed
437,453,29,2024-08-11,2024-08-18,Completed
438,526,1,2025-08-24,2025-09-07,Completed
439,1317,22,2025-04-05,,Dropped
440,192,12,2024-08-30,2024-09-08,Completed
441,1650,8,2025-09-04,2025-09-30,Completed
442,1922,30,2024-02-15,2024-03-01,Completed
443,1109,5,2026-02-14,2026-02-26,Completed
444,1897,34,2026-04-16,,Not Started
445,1630,16,2024-12-04,2024-12-24,Completed
446,1194,7,2025-08-12,2025-09-01,Completed
447,1427,12,2024-12-31,,In Progress
448,1140,27,2024-01-28,,In Progress
449,1285,22,2025-11-14,2025-11-23,Completed
450,1685,4,2026-01-25,2026-02-05,Completed
451,402,33,2024-07-21,2024-08-11,Completed
452,126,26,2024-08-19,2024-08-26,Completed
453,242,28,2026-01-11,2026-02-05,Completed
454,1550,36,2024-11-02,,In Progress
455,885,4,2024-03-05,,In Progress
456,326,18,2024-01-08,2024-01-13,Completed
457,1092,5,2026-05-13,,Dropped
458,223,2,2024-06-10,2024-06-22,Completed
459,851,3,2024-08-22,2024-09-06,Completed
460,546,28,2025-12-31,2026-01-26,Completed
461,1088,39,2026-08-12,2026-09-01,Completed
462,676,36,2024-06-10,,In Progress
463,1218,20,2025-08-03,2025-08-22,Completed
464,871,5,2026-05-06,,In Progress
465,572,11,2025-09-12,2025-10-10,Completed
466,1635,31,2024-01-21,2024-02-07,Completed
467,770,31,2025-04-21,,Not Started
468,1792,22,2026-03-26,2026-03-31,Completed
469,471,29,2025-06-30,,Not Started
470,232,21,2025-02-08,,Dropped
471,1190,28,2026-04-16,2026-05-07,Completed
472,369,20,2024-08-25,,In Progress
473,493,37,2025-06-04,,Dropped
474,1114,36,2024-09-04,2024-09-08,Completed
475,695,20,2024-04-05,2024-04-20,Completed
476,1125,4,2024-07-01,2024-07-22,Completed
477,1742,34,2024-05-23,,In Progress
478,452,27,2024-04-01,2024-04-26,Completed
479,906,2,2026-01-08,2026-01-18,Completed
480,1511,30,2025-04-16,2025-05-01,Completed
481,1736,12,2024-02-03,,In Progress
482,1598,1,2025-11-11,2025-12-12,Completed
483,1481,1,2024-11-26,2024-12-25,Completed
484,1655,25,2024-03-24,2024-04-04,Completed
485,985,39,2024-04-10,2024-04-29,Completed
486,1327,14,2026-03-17,2026-04-09,Completed
487,53,28,2024-12-27,2025-01-22,Completed
488,236,32,2025-05-31,2025-06-30,Completed
489,599,8,2024-03-28,2024-04-07,Completed
490,1230,26,2025-07-06,2025-07-27,Completed
491,1070,37,2024-03-19,2024-04-14,Completed
492,592,19,2026-03-18,2026-04-03,Completed
493,961,2,2025-03-21,2025-03-30,Completed
494,1228,2,2025-11-08,2025-11-23,Completed
495,774,12,2024-12-15,2025-01-14,Completed
496,1057,9,2024-06-02,2024-06-25,Completed
497,252,7,2024-06-01,,In Progress
498,1048,7,2024-11-25,2024-12-03,Completed
499,750,11,2024-06-23,,In Progress
500,769,29,2025-07-19,2025-08-14,Completed
501,963,2,2024-07-31,2024-08-27,Completed
502,1754,23,2025-04-16,2025-05-16,Completed
503,35,31,2026-03-08,2026-04-01,Completed
504,379,3,2024-03-03,2024-03-14,Completed
505,1901,3,2025-02-05,2025-03-03,Completed
506,255,36,2026-07-26,2026-07-28,Completed
507,536,24,2024-09-21,,Not Started
508,1319,5,2025-04-30,2025-05-19,Completed
509,1057,6,2026-01-05,,In Progress
510,1083,25,2025-02-13,2025-02-22,Completed
511,1379,2,2025-12-14,2026-01-12,Completed
512,605,28,2025-06-18,2025-07-14,Completed
513,1366,29,2025-02-21,2025-02-27,Completed
514,498,36,2026-02-13,2026-02-26,Completed
515,1480,28,2025-06-25,2025-07-03,Completed
516,635,39,2024-09-14,2024-09-17,Completed
517,1684,15,2025-10-08,2025-10-24,Completed
518,1938,30,2026-02-14,2026-02-22,Completed
519,383,15,2024-08-22,,In Progress
520,756,12,2025-11-30,2025-12-13,Completed
521,1965,36,2026-01-16,2026-01-20,Completed
522,963,14,2025-02-25,,In Progress
523,1768,10,2025-08-12,,Not Started
524,1087,19,2026-07-29,2026-08-09,Completed
525,1497,3,2024-09-04,2024-09-30,Completed
526,1063,5,2024-10-09,2024-10-25,Completed
527,954,23,2025-12-14,2026-01-10,Completed
528,697,1,2025-12-04,2025-12-19,Completed
529,490,6,2024-08-09,2024-09-10,Completed
530,1688,13,2026-04-28,2026-05-22,Completed
531,646,36,2024-05-05,2024-05-14,Completed
532,1653,4,2024-04-14,2024-05-12,Completed
533,1229,17,2025-04-22,,In Progress
534,1613,3,2024-02-19,2024-03-06,Completed
535,494,22,2025-10-08,2025-10-27,Completed
536,444,4,2025-10-21,2025-11-03,Completed
537,81,36,2026-05-25,2026-05-29,Completed
538,1959,2,2026-02-07,2026-03-03,Completed
539,1018,30,2024-12-01,,Not Started
540,196,17,2025-05-27,,Dropped
541,1596,21,2026-06-03,2026-06-06,Completed
542,22,37,2024-08-01,,In Progress
543,1661,1,2024-04-19,2024-05-08,Completed
544,230,21,2026-05-07,2026-05-10,Completed
545,501,27,2024-12-07,2025-01-04,Completed
546,1019,8,2024-10-17,,In Progress
547,1221,3,2026-01-12,,Dropped
548,1878,1,2025-09-27,2025-10-15,Completed
549,754,23,2024-12-20,2024-12-26,Completed
550,157,11,2024-03-13,,In Progress
551,1784,20,2026-03-01,2026-03-09,Completed
552,1105,10,2024-08-24,2024-09-14,Completed
553,703,34,2025-08-23,2025-09-10,Completed
554,399,5,2026-01-10,2026-01-28,Completed
555,1243,23,2024-05-31,2024-06-19,Completed
556,564,11,2025-03-04,2025-03-17,Completed
557,1913,1,2026-02-02,,Dropped
558,603,3,2025-07-02,2025-08-04,Completed
559,88,34,2025-10-07,2025-11-06,Completed
560,692,7,2025-02-08,2025-03-12,Completed
561,1524,2,2025-12-11,2026-01-11,Completed
562,264,16,2026-05-16,2026-05-21,Completed
563,1934,5,2024-02-26,2024-03-15,Completed
564,740,15,2026-06-24,2026-07-23,Completed
565,56,14,2025-12-02,2025-12-16,Completed
566,1926,30,2024-04-12,,Not Started
567,1573,6,2026-07-08,2026-07-17,Completed
568,1675,16,2025-07-17,2025-08-08,Completed
569,223,18,2026-05-17,2026-06-14,Completed
570,1150,25,2024-05-26,2024-06-16,Completed
571,1703,8,2026-02-06,,Not Started
572,238,7,2026-07-06,2026-08-07,Completed
573,1081,40,2026-03-09,2026-03-21,Completed
574,487,18,2025-11-14,,Dropped
575,1509,37,2024-05-19,2024-05-27,Completed
576,479,25,2025-09-21,,In Progress
577,110,3,2025-01-14,2025-02-15,Completed
578,37,23,2024-02-18,2024-03-12,Completed
579,1190,28,2026-04-02,2026-04-25,Completed
580,373,38,2026-01-01,,Not Started
581,523,22,2024-06-18,2024-07-11,Completed
582,1447,22,2025-10-02,2025-10-25,Completed
583,1173,33,2026-06-09,,In Progress
584,608,34,2025-10-19,2025-11-12,Completed
585,1528,29,2025-11-25,,In Progress
586,1750,17,2026-06-29,2026-07-08,Completed
587,1097,31,2025-08-16,2025-09-11,Completed
588,509,4,2025-08-01,2025-08-07,Completed
589,1582,19,2024-11-13,2024-12-12,Completed
590,1997,35,2024-06-28,,Dropped
591,222,5,2026-03-10,,In Progress
592,457,10,2024-05-24,,In Progress
593,881,16,2025-07-27,,Not Started
594,113,16,2025-12-17,2026-01-07,Completed
595,969,4,2025-10-17,2025-11-16,Completed
596,856,39,2024-02-01,2024-02-08,Completed
597,1535,6,2025-07-29,,Not Started
598,1484,7,2025-09-13,2025-10-11,Completed
599,1357,23,2025-01-05,2025-01-26,Completed
600,284,25,2025-07-28,,In Progress
601,1713,33,2024-10-18,,In Progress
602,1838,12,2025-02-21,,Dropped
603,242,40,2026-07-12,2026-08-03,Completed
604,890,12,2025-07-16,,In Progress
